Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,30,386,27,89,4,33,33,5,62,0,0
0.02,30,292,55,104,12,64,14,5,149,0,0
0.02,18,411,18,104,2,17,13,5,34,0,0
0.02,30,480,19,77,1,44,15,5,87,0,0
0.02,31,471,28,97,2,44,18,5,77,0,0
0.02,23,534,20,94,4,46,14,5,76,0,0
0.02,43,385,34,104,2,66,18,19,109,0,0
0.02,19,367,22,152,1,32,11,5,127,0,0
0.02,42,510,35,135,8,63,20,5,64,0,0
0.02,24,458,21,103,2,42,13,5,114,0,0
0.02,23,469,23,57,1,46,12,11,106,0,0
0.02,19,614,40,114,4,36,14,5,46,0,0
0.02,31,346,25,40,2,47,11,11,79,0,0
0.02,28,520,16,89,1,36,25,5,120,0,0
0.02,28,454,19,75,2,43,16,5,105,0,0
0.02,22,448,15,77,4,34,14,5,106,0,0
0.02,23,351,27,81,2,41,14,14,69,0,0
0.02,20,339,26,58,2,48,13,5,113,0,0
0.02,25,536,16,79,1,51,14,5,100,0,0
0.02,26,628,18,112,2,43,6,5,40,0,0
0.02,27,369,19,66,2,48,18,5,104,0,0
0.02,18,419,13,86,1,23,14,5,89,0,0
0.02,31,446,29,64,2,47,18,14,77,0,0
0.02,28,362,29,110,2,228,16,5,109,0,0
0.02,19,420,19,78,1,40,15,5,85,0,0
0.02,31,474,21,56,2,50,22,5,123,0,0
0.02,16,442,18,61,1,38,15,5,101,0,0
0.02,21,356,24,66,1,46,15,12,114,0,0
0.02,31,546,21,128,4,46,24,5,86,0,0
0.02,28,400,18,57,2,38,21,5,111,0,0
0.02,45,426,32,82,2,58,18,5,99,0,0
0.02,18,338,27,62,1,58,12,11,121,0,0
0.02,51,766,28,151,2,50,30,14,106,0,0
0.02,9,612,28,115,2,24,10,5,31,0,0
0.02,11,333,20,29,2,45,16,5,58,0,0
0.02,31,400,29,51,2,43,16,14,90,0,0
0.02,19,442,47,85,2,41,18,5,94,0,0
0.02,39,471,28,125,2,93,19,5,91,0,0
0.02,29,327,22,36,2,40,15,5,123,0,0
0.02,26,427,25,244,1,39,13,5,117,0,0
0.02,22,528,37,108,4,32,14,5,44,0,0
0.02,32,379,30,94,4,54,15,5,67,0,0
0.02,26,402,14,39,1,24,16,5,51,0,0
0.02,9,344,19,17,1,37,11,5,102,0,0
0.02,31,408,19,55,2,38,16,5,108,0,0
0.02,26,440,18,50,2,38,15,5,87,0,0
0.02,25,301,20,58,2,41,8,5,87,0,0
0.02,37,355,23,69,4,50,18,5,114,0,0
0.02,26,411,22,72,1,41,17,5,69,0,0
0.02,18,686,27,114,1,14,17,5,31,0,0
0.02,19,312,15,55,2,45,12,5,88,0,0
0.02,19,316,12,80,4,50,18,5,92,0,0
0.02,10,932,22,157,2,8,9,5,25,0,0
0.02,32,502,44,58,2,42,18,5,44,0,0
0.02,24,342,28,54,1,55,17,5,88,0,0
0.02,22,429,22,43,1,35,16,5,73,0,0
0.02,21,413,24,66,2,46,14,5,58,0,0
0.02,24,464,52,58,1,42,10,5,53,0,0
0.02,27,366,34,49,1,54,8,5,45,0,0
0.02,14,331,20,60,2,38,14,5,53,0,0
0.02,52,359,16,74,2,93,20,11,108,0,0
0.02,14,318,27,68,1,56,16,5,91,0,0
0.02,28,392,35,82,1,88,20,5,66,0,0
0.02,34,445,49,108,1,63,34,5,64,0,0
0.02,13,358,21,49,1,42,14,11,79,0,0
0.02,27,434,22,69,1,38,19,5,70,0,0
0.02,17,413,22,58,1,67,16,5,82,0,0
0.02,26,436,32,65,1,71,22,10,88,0,0
0.02,32,460,33,80,1,52,10,5,50,0,0
0.02,26,304,22,26,4,31,13,5,70,0,0
0.02,52,784,32,129,2,67,103,14,381,0,0
0.02,15,539,18,53,1,32,16,5,116,0,0
