Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,16,80,30,360,-999,70,28,5,85,0,0
0.02,20,330,29,245,-999,48,43,5,110,0,0
0.02,36,295,24,210,-999,70,30,11,130,0,0
0.02,26,240,23,195,-999,62,22,12,108,0,0
0.02,15,170,15,110,-999,49,20,5,63,0,0
0.02,25,240,19,205,-999,59,26,11,135,0,0
0.02,21,150,16,190,-999,46,22,5,150,0,0
0.02,26,190,26,360,-999,80,26,31,190,0,0
0.02,25,175,36,520,-999,120,21,38,160,0,0
0.02,30,215,35,450,-999,125,22,28,130,0,0
0.02,23,240,24,235,-999,75,18,10,115,0,0
0.02,17,130,26,260,-999,100,21,21,100,0,0
0.02,22,160,27,245,-999,90,18,15,110,0,0
0.02,24,210,22,245,-999,70,22,30,175,0,0
0.02,30,144,25,360,-999,76,25,27,142,0,0
0.02,32,140,20,330,-999,82,19,27,325,0,0
0.02,26,152,11,150,-999,33,22,11,118,0,0
0.02,27,315,8,130,-999,17,19,5,72,0,0
0.02,54,265,26,330,-999,254,48,5,232,0,0
0.02,146,345,2,59,-999,8,32,27,62,0,0
0.02,32,330,6,75,-999,12,24,5,44,0,0
0.02,43,550,18,170,2,56,29,5,51,0,0
0.02,34,520,16,105,2,45,39,5,51,0,0
0.02,36,510,16,125,2,41,32,5,72,0,0
0.02,46,560,24,140,1,59,39,5,100,0,0
0.02,30,550,11,120,2,30,34,17,25,0,0
0.02,15,450,9,60,2,18,30,5,32,0,0
0.02,24,222,32,245,1,126,28,5,85,0,0
0.02,16,188,27,246,2,82,20,5,64,0,0
0.02,18,200,27,200,1,90,19,5,70,0,0
0.02,16,176,21,175,1,50,20,5,54,0,0
0.02,25,186,36,283,2,102,25,5,66,0,0
0.02,30,335,23,88,2,62,42,5,66,0,0
0.02,32,281,29,73,1,74,22,5,128,1,2
0.02,30,330,24,78,4,50,35,5,105,0,0
0.02,26,132,40,288,2,345,26,22,110,0,0
0.02,32,462,56,470,2,460,36,36,128,0,0
0.02,18,182,43,260,1,116,25,5,78,0,0
0.02,27,220,34,365,1,170,26,5,82,0,0
0.02,25,289,28,121,1,42,28,5,119,0,0
0.02,23,192,39,290,1,92,22,13,78,0,0
0.02,26,238,34,295,1,71,27,5,89,0,0
0.02,10,95,40,330,1,88,22,14,70,0,0
0.02,41,290,39,260,1,40,16,30,155,0,0
0.02,26,281,28,200,1,18,14,16,100,0,0
0.02,30,220,34,310,1,41,16,38,155,0,0
0.02,29,300,31,80,1,19,16,31,146,0,0
0.02,38,265,32,120,2,15,12,31,160,0,0
0.02,41,292,33,240,2,28,20,30,159,0,0
0.02,30,288,35,351,2,33,19,32,160,0,0
0.02,33,275,33,301,1,32,14,26,150,0,0
0.02,38,295,30,260,2,41,16,31,155,0,0
0.02,33,345,31,290,1,26,17,19,160,0,0
0.02,38,300,28,290,2,25,19,26,145,0,0
0.02,45,360,42,390,2,46,20,31,155,0,0
0.02,32,230,38,300,2,39,16,42,205,0,0
0.02,33,265,32,250,2,26,16,25,151,0,0
0.02,30,240,30,245,1,19,22,38,156,0,0
0.02,29,178,17,188,1,42,22,32,143,0,0
0.02,66,339,23,90,1,59,56,34,410,0,0
0.02,49,285,13,63,1,84,68,30,230,0,0
0.02,54,215,14,58,1,31,36,28,184,0,0
0.02,32,152,18,269,2,53,34,36,180,0,0
0.02,22,160,13,172,2,32,29,23,132,0,0
0.02,33,153,15,156,1,69,36,26,215,0,0
0.02,74,315,16,63,2,32,31,24,206,0,0
0.02,46,290,13,92,1,27,60,24,265,0,0
0.02,38,442,11,84,2,19,35,23,212,0,0
0.02,28,475,2,58,2,6,33,5,75,0,0
0.02,34,375,9,54,2,19,29,5,96,0,0
0.02,29,358,6,38,1,16,34,5,85,0,0
0.02,36,422,8,125,1,21,27,5,98,0,0
0.02,29,362,2,72,1,15,29,5,75,0,0
0.02,54,760,56,400,1,170,54,56,255,0,0
0.02,60,437,25,120,1,52,321,11,180,0,0
0.02,18,223,21,60,1,39,20,5,123,0,0
0.02,30,340,16,92,2,54,18,5,130,0,0
0.02,24,328,25,93,2,48,17,5,150,0,0
0.02,25,431,16,62,1,36,24,5,104,0,0
0.02,26,890,11,56,1,42,44,5,198,0,0
0.02,30,480,17,60,1,42,67,5,153,0,0
0.02,26,456,15,62,2,35,27,5,132,0,0
0.02,18,162,22,300,-999,118,18,5,240,0,0
0.02,30,155,42,920,-999,185,15,40,268,0,0
0.02,39,188,43,355,-999,186,24,56,185,0,0
0.02,37,149,52,662,-999,272,32,60,267,0,0
0.02,42,175,54,615,-999,300,30,85,350,0,0
0.02,42,245,46,460,-999,218,34,70,340,0,0
0.02,21,320,27,120,-999,60,18,5,150,0,0
0.02,18,261,25,132,-999,72,21,14,161,0,0
0.02,32,222,18,160,1,43,68,39,288,0,0
0.02,24,228,8,90,1,15,65,5,178,0,0
0.02,57,195,13,54,2,16,62,5,172,0,0
0.02,45,210,27,27,2,90,45,11,155,0,0
0.02,23,270,14,120,2,60,51,5,123,0,0
0.02,42,420,18,178,-999,74,34,21,145,0,0
0.02,38,210,32,115,-999,16,29,5,128,0,0
0.02,37,478,18,252,-999,55,25,5,168,0,0
0.02,46,435,18,236,-999,70,28,18,142,0,0
0.02,65,410,12,240,-999,62,24,32,110,0,0
0.02,35,385,22,188,-999,78,35,20,130,0,0
0.02,40,410,21,150,-999,84,34,30,142,0,0
0.02,39,585,28,178,-999,75,36,16,160,0,0
0.02,39,448,18,197,-999,59,32,5,141,0,0
0.02,88,475,22,205,-999,78,29,24,180,0,0
0.02,46,495,18,200,-999,64,34,19,145,0,0
0.02,44,480,22,165,-999,55,29,16,140,0,0
1,40,372,27,260,-999,74,23,34,700,0,0
0.02,20,220,22,223,2,76,51,5,132,0,0
0.02,15,205,22,490,2,94,44,5,125,0,0
0.02,15,208,20,127,2,81,46,10,140,0,0
0.02,37,450,28,480,2,34,40,41,175,0,0
0.02,42,250,37,700,1,60,56,58,240,0,0
0.02,30,215,23,265,2,21,32,19,135,0,0
0.02,32,245,24,375,1,19,28,17,130,0,0
0.02,30,210,24,435,1,18,27,10,120,0,0
0.02,48,220,38,245,1,60,42,65,250,0,0
0.02,51,700,45,500,1,69,34,65,285,0,0
0.02,42,255,24,170,1,11,26,23,155,0,0
